movie_id,predicted_revenue
9448,67146119.12666667
11186,56349865.96666667
136835,44264726.67333333
5876,74879168.2
264660,40386804.12
492,64200162.406666666
238603,55613545.7
10691,78640965.50666666
1251,128797989.22
5172,70724004.32
58680,76487327.64
264644,35436226.64666667
11592,69124732.32
16406,143153820.7
3682,42982196.78
107811,77562452.16666667
2266,34815104.00666667
144340,79351048.88666667
28211,70202046.79333334
47502,60377686.70666666
9950,56889519.06666667
84892,63201751.64666667
24227,69859502.65333334
9672,39160812.68
157544,68471837.51333334
59678,67065455.00666667
79777,52852908.82
158011,47197759.013333336
8952,75146074.63333334
62204,45491230.986666664
13435,36814165.7
319,66554745.63333333
9504,88688064.02666667
26688,60911131.4
6615,79161668.06666666
14574,49143066.07333333
16,49866408.873333335
21612,35927901.14
36691,52262359.166666664
23631,79612066.65333334
45324,49275228.42
12144,117845392.40666667
56601,48384633.32666667
9552,66826393.6
578,270829982.49333334
2105,98789715.48666666
126319,46838995.77333333
10136,82270574.0
67660,125264005.16666667
10611,71796610.80666667
154,75824017.04
3049,75039374.18666667
860,43909942.53333333
9281,66590807.96666667
75674,56346117.24666667
9762,75088880.93333334
184,98918490.47333333
13335,129164483.25333333
76726,96250234.74666667
10269,83571770.18666667
36819,61982059.24
17130,74017631.52666667
57214,65955159.77333333
11202,50547170.0
9357,53664750.02
13812,52881798.74
9030,37296285.593333334
19084,87597277.48
8386,114439108.42
1360,30787244.213333335
101267,66335235.25333333
222935,41249516.66
10220,48416676.74
31915,63259199.72666667
11601,58163413.3
205220,34621760.25333333
14191,76611892.82
286565,52702866.446666665
129670,36937004.11333334
34549,98308083.37333333
57157,47390355.306666665
1948,34171884.11333334
46889,100951587.23333333
387,46465953.553333335
60599,35340639.653333336
227719,56867550.49333333
12088,28353682.26
14799,24320989.98666667
7510,50872018.25333333
31246,58464236.56
61752,60557638.36
10944,55184381.82666667
10362,53429189.28
1255,69596897.74666667
179144,47037991.4
86825,38112254.78
844,120893678.78666666
38448,51980553.35333333
327,37507340.3
21345,54793661.76
173931,80479473.76666667
61984,83180588.20666666
50601,27138763.493333332
236751,37849334.693333335
107,41554468.02
8913,50811397.67333333
927,92271787.54
11,314385040.1666667
291870,85520773.96
907,90100801.08666667
45317,31232431.9
12094,98428913.83333333
10377,97931736.56666666
249164,137723631.28666666
9942,87490914.72666667
1817,38592081.17333333
10229,63041484.98
687,38651552.02
796,61146751.63333333
22804,71213236.52666667
10156,138659043.16
12837,59895763.17333333
17708,68940459.63333334
13937,68243079.14666666
28932,27509119.846666668
31909,40811052.72
167073,53146800.306666665
3175,108209981.51333334
14369,112049080.24
16888,52716488.26
121826,72012742.98
10646,104673954.73333333
12149,30360539.52
304357,38233538.57333333
20009,57022362.04
1587,56349455.64
30973,40372971.29333334
63020,71385917.06
86829,43339437.93333333
13888,64245977.986666664
42345,38197734.1
11917,72418655.19333333
14395,84667764.94666667
24137,86984977.82666667
62,82418960.69333333
601,309777011.6533333
13067,64871783.406666666
88641,51112136.873333335
96399,35893499.24666667
489,52700975.52666666
214,51665385.76
10890,60793230.10666667
1588,55739037.12
316727,48876191.16
10314,48347799.8
663,58222942.53333333
11804,48140623.06
16781,62744994.946666665
11873,84429810.09333333
9289,49226633.22
10414,81086229.81333333
1970,61585737.586666666
9614,113988353.92666666
8922,56476104.5
1648,60873874.70666666
17917,87638812.56666666
74534,63993142.77333333
19405,63981872.593333334
9355,36513697.54666667
10999,67196166.08666667
321258,51281584.766666666
44040,62219933.68
10426,51100564.5
280092,37441851.626666665
13938,56292640.50666667
10163,149882261.46666667
12182,97679438.61333333
1832,111742332.54666667
15301,267767776.81333333
10135,45008021.733333334
26352,82945939.80666667
20616,77527930.07333334
9794,68714634.98
15037,81566042.73333333
227,26369768.286666665
294272,93039052.62
11336,52148040.266666666
283445,49247115.486666664
88036,43033522.21333333
22824,54792602.43333333
11545,45172185.67333333
42684,37088710.833333336
268238,67705967.50666666
41823,62896179.04666667
9362,82388221.94666667
9902,54695579.29333334
14729,45562828.18
9455,109756016.28
103731,64945754.58
10090,147837160.68
75900,30980852.506666668
9515,31930501.926666666
328425,37486766.60666667
1542,128423681.00666666
10490,93698849.48666666
87093,67979241.14
10029,68496314.76
11507,106706350.77333333
37931,63172582.03333333
87818,83635876.6
88005,74782665.11333333
73,80148237.08
14283,144147661.47333333
209403,56640562.61333334
7942,64388931.28
73247,71802514.12
253331,34538659.42
9952,57448148.233333334
256924,52391887.04
